Fecha,Potencia(kW),Energia,Tonelaje_mineral_fresco(ton),Agua_alimentada(ton),Porcentaje_de_solidos,Densidad_hidroseparador
2024-11-29 22:00:00,6284.5356445313,13.0785970687865,479.421478271485,0.0,54.5436611175535,39.9210548400875
2024-11-29 22:15:00,6284.7424316405995,13.070580482482999,479.70935058594,0.0,54.864120483398,40.481462478637496
2024-11-29 22:30:00,6272.6379394530995,13.0328764915465,480.84681701659997,0.0,54.815952301025,40.4181747436525
2024-11-29 22:45:00,6293.0786132812,13.053135395049999,480.341247558595,0.0,54.627124786376996,40.283458709716996
2024-11-29 23:00:00,6264.197265625,13.078881263733,479.54576110840003,0.0,54.413032531738,40.288429260254
2024-11-29 23:15:00,6276.3056640625,13.0668659210205,480.64739990234,0.0,54.746585845946996,40.519563674927
2024-11-29 23:30:00,6278.6220703125,13.123251914978,479.476699829105,0.0,54.761535644530994,40.444068908690994
2024-11-29 23:45:00,6292.13916015625,13.078531742096,481.32420349121,0.0,54.352296829223505,39.8920345306395
2024-11-30 00:00:00,6302.2106933593495,13.187938213348499,478.793548583985,0.0,54.73496055603,40.4942951202395
2024-11-30 00:15:00,6271.8723144531505,13.088763713837,480.51277160644497,0.0,54.7684631347655,39.9367027282715
2024-11-30 00:30:00,6272.9709472655995,13.0296955108645,480.66264343262003,0.0,54.9976673126225,40.424783706664996
2024-11-30 00:45:00,6262.4594726563,13.0695996284485,478.648498535155,0.0,54.510736465454,40.022994995117
2024-11-30 01:00:00,6244.6535644531505,13.011046886444,479.20863342284997,0.0,55.1157169342045,41.3235301971435
2024-11-30 01:15:00,6272.1862792968495,13.0445342063905,480.80615234375,0.0,54.624856948852496,39.738931655884
2024-11-30 01:30:00,6261.35986328125,13.0275707244875,479.31707763672,0.0,54.5521106719975,40.6548500061035
2024-11-30 01:45:00,6264.6743164062,13.074924945831,480.15924072266,0.0,54.961570739746,40.863790512085004
2024-11-30 02:00:00,6276.69384765625,13.080177783966,480.546127319335,0.0,53.9490032196045,39.498044967651495
2024-11-30 02:15:00,6251.9948730469005,13.0318627357485,479.59220886230503,0.0,54.725196838379,40.208179473876996
2024-11-30 02:30:00,6233.93701171875,12.981633663177501,481.14607238769497,0.0,53.7864360809325,39.153049468994
2024-11-30 02:45:00,6283.2685546875,13.065661907196,479.62380981445,0.0,54.252418518066506,40.2305221557615
2024-11-30 03:00:00,6246.7546386718495,13.021864414214999,480.33290100097497,0.0,55.3677654266355,41.1536712646485
2024-11-30 03:15:00,6258.0693359375,13.0683488845825,479.822540283205,0.0,54.625137329101506,39.977970123291
2024-11-30 03:30:00,6257.8232421875,13.035523891449,480.61042785644497,0.0,54.7520217895505,40.991493225098
2024-11-30 03:45:00,6269.1755371094005,12.992034435272,480.46638488769497,0.0,54.45440864563,40.347490310669
2024-11-30 04:00:00,6243.0744628905995,13.051971912384001,478.868698120115,0.0,54.821962356567,40.4690017700195
2024-11-30 04:15:00,6245.8364257812,13.0036053657535,480.05206298828,0.0,54.7902297973635,40.212770462036005
2024-11-30 04:30:00,6261.3986816406505,13.0277047157285,480.90298461914,0.0,54.3508205413815,39.6437950134275
2024-11-30 04:45:00,6258.2458496093495,13.039159297943,479.404663085935,0.0,55.136631011963,41.091474533081
2024-11-30 05:00:00,6278.78466796875,13.096076488495001,479.53567504883,0.0,54.435483932495,39.612377166748
